word,polar
adaptive,0.25
adaxially,0.25
add,0.5
addable,0.5
addible,0.5
addiction,0.125
addictive,-0.625
additive,-0.375
addle,-0.3125
addled,-0.75
addressable,0.625
addressed,0.125
adenitis,-0.5
adenocarcinoma,-0.125
adenomyosarcoma,-0.125
adenomyosis,-0.25
adenopathy,0.125
adequate,0.125
adequately,0.25
adermin,0.125
adhd,0.5
adhere,0.25
adhesive,-0.25
adjectivally,0.125
adjuration,0.25
adjust,0.125
adjustable,0.625
adjusted,0
adjustive,0.5
adjustment,0.5
administration,0.3125
admirably,0.5
admiration,0.666666667
admiringly,0.75
admission,0.5
admit,0.125
admonish,0.375
adobe,0.125
adoptable,0.75
adopted,0.5
adoptive,0.5
adorably,0.25
adoration,0.4375
adoringly,0.625
adorn,0.5
adorned,0.375
adornment,0.375
adrenergic,0.25
adrenocorticotrophic,0.25
adrenocorticotropic,0.25
adroit,0.25
adroitly,0.625
adsorbate,0.375
adulate,0.625
adult,-0.125
adulterate,-0.375
adulterously,0.125
adumbrate,0.125
adust,-0.25
advance,0.25
advanced,0.375
advancement,0.125
advantageous,0.625
advantageously,0.625
advent,0.375
adventive,-0.75
adventure,0.25
adventuresome,0.375
adventurous,0.375
adversely,0.25
adversity,-0.4375
advertent,0.5
advertently,0.375
advil,-0.25
advisable,0.625
advised,0.5
advisedly,0.375
advocate,0
adynamic,-0.5
aegis,-0.375
aegyptopithecus,0.125
aepyorniformes,-0.125
aerate,-0.125
aerobe,0.125
aerobic,0.5
aesthetic,0.75
aesthetical,0.625
aetiology,0.25
afar,0.125
afeard,-0.125
afeared,-0.125
affable,0.625
affably,0.25
affect,-0.0625
affected,0.375
affectedly,-0.375
affectingly,0.375
affection,0.375
affectionately,0.625
affectionateness,0.375
affirmation,0.375
affirmative,0.4375
affirmatively,0.25
affirmatory,0.5
affixed,0.125
afflict,-0.875
afflicted,-0.375
affliction,-0.625
affluence,0.25
affray,-0.3125
affright,-0.5
affront,-0.1875
afibrinogenemia,-0.5
aflaxen,-0.125
aflicker,0.25
afraid,-0.5
afterglow,0.5
afterthought,-0.625
agalactia,-0.5
agalactosis,-0.5
agammaglobulinemia,-0.625
agape,0.5
age,0.166666667
aged,0.125
ageism,0.125
aggravate,-0.25
aggravated,-0.5
aggravation,-0.3125
aggression,-0.291666667
aggressive,0.5
aggressively,0.5
aggressiveness,-0.375
aggro,-0.375
aghast,0.25
agilely,0.5
agism,0.125
agitated,-0.3125
agitation,-0.375
agleam,0.375
aglow,0.25
agnatha,-0.25
agnathan,-0.5
agnise,0.375
agnize,0.375
agnosia,-0.25
agonal,-0.25
agonizingly,-0.125
agony,-0.5
agoraphobic,-0.75
agranulocytic,-0.25
agranulocytosis,-0.5
agranulosis,-0.5
agrapha,-0.5
agree,0.375
agreeable,0.5
agreeably,0.375
agribusiness,0.125
agriculture,0.125
ague,0.25
aguish,-0.375
ahead,0.25
ahimsa,0.125
aid,0.5
ail,-0.6875
ailing,-0.625
ailment,-0.25
ailurus,-0.375
aim,0.125
aimlessly,0.25
air,-0.125
aired,-0.125
airedale,-0.125
airily,0.25
airless,-0.125
airship,0.125
airsick,-0.5
airstrip,-0.25
airtight,-0.25
airy,-0.25
akeridae,-0.125
alabaster,-0.25
alalia,-0.625
alar,-0.125
alarm,0.125
alarmed,-0.625
alarming,-0.5
alarmingly,0.375
alarmism,-0.125
alary,-0.125
alas,-0.875
albinal,-0.5
albinic,-0.5
albinism,-0.625
albinistic,-0.5
albinotic,-0.5
albuminuria,-0.5
alcalescent,-0.25
alcaptonuria,0.5
alcoholise,-0.25
alcoholize,-0.1875
aldactone,-0.25
alert,0.333333333
alerting,-0.125
alertly,0.25
aleve,-0.125
alexia,-0.375
alga,-0.25
algae,-0.25
algebraically,0.25
algidity,0.5
algolagnia,-0.625
algolagnic,-0.125
algometry,-0.25
algophilia,-0.625
algophobia,-0.625
algophobic,-0.875
alibi,-0.125
alienation,-0.333333333
aliform,-0.125
align,0.125
alike,0.5
alimental,0.25
alimentary,0.25
alive,0.40625
alkalemia,-0.5
alkalescent,-0.25
alkalosis,-0.25
alkalotic,0.125
alkaptonuria,0.5
all,0.5
allantoic,0.25
allargando,0.25
allegorically,0.25
allegretto,-0.166666667
allegro,0.375
allergic,-0.4375
allergy,-0.125
alleviant,-0.625
alleviate,0.3125
alleviation,0.125
alleviator,-0.625
alliaceous,-0.375
alligator,-0.25
alliteratively,0.25
allomerism,-0.25
allopurinol,-0.125
allotropic,0.375
allotropical,0.375
allow,-0.0625
allowably,0.375
alms,-0.5
almsgiving,-0.5
aloes,0.125
aloft,0.125
aloof,0.25
aloofness,-0.125
alpinism,-0.5
already,0.125
alright,0.4375
altace,0.125
alter,-0.25
alterable,0.5
altercate,0.25
altercation,-0.375
altered,-0.125
altering,-0.125
altogether,0.125
altruistic,0.875
altruistically,0.25
alumina,-0.125
alveolitis,-0.25
always,-0.125
alzheimer's,-0.125
alzheimers,-0.125
amain,-0.25
amalgamative,-0.625
amastia,-0.375
amateurishly,0.25
amativeness,0.5
amaurosis,-0.375
amaurotic,-0.25
amaze,-0.1875
amazed,0.5
amazement,-0.375
amazing,0.25
amazingly,0.125
ambages,-0.125
ambiguous,0.125
ambiguously,0.375
ambition,0.375
ambitionless,0.5
ambitious,0.375
ambitiously,0.375
ambivalence,-0.125
ambivalency,-0.125
ambivalent,-0.625
ambrosial,0.5
ambrosian,0.5
ambuscade,-0.5
ambush,-0.5
amd,0.125
amebiasis,-0.625
amebiosis,-0.625
ameboid,-0.125
amelia,-0.5
ameliorate,0.375
ameliorating,-0.125
amelioration,0.125
ameliorative,-0.125
amelioratory,-0.125
amenable,-0.25
amend,0.375
amended,0.5
amendment,-0.125
amends,-0.5
amenia,-0.625
amenorrhea,-0.625
amenorrhoea,-0.625
amethopterin,-0.625
amethyst,-0.125
ametria,-0.5
ametropia,-0.25
ametropic,-0.25
amia,-0.125
amiability,0.875
amiable,0.625
amiably,0.25
amicability,-0.125
amicableness,-0.125
amicably,0.25
amino,0.25
aminoaciduria,0.125
amiss,-0.375
ammodytes,-0.125
ammonia,-0.25
ammoniate,-0.375
ammoniated,-0.25
ammonify,-0.125
ammoniuria,-0.625
amnic,0.125
amnionic,0.125
amniotic,0.125
amobarbital,-0.375
amoebiasis,-0.625
amoebiosis,-0.625
amoeboid,-0.125
amok,0.125
amorally,-0.625
amoristic,0.5
amorously,0.125
amorousness,0.5625
amorphous,-0.375
amount,-0.375
amp,0.125
amphibolips,-0.625
amphipod,0.375
amphiprostylar,0.375
amphiprostyle,0.375
amphiprotic,0.5
amphisbaena,-0.125
amphisbaenia,-0.125
amphistylar,0.375
amphoteric,0.5
amplify,0.375
amply,0.375
ampulla,-0.5
amputation,-0.125
amrinone,0.125
amuck,0.125
amuse,0.625
amusement,-0.375
amusingly,0.75
amygdaline,0.25
amyl,0.125
amylaceous,0.125
amyloid,0.125
amyloidal,0.125
amyloidosis,-0.75
amyotonia,-0.5
amyotrophia,0.125
amyotrophy,0.125
amyxia,-0.375
anabolic,0.5
anacanthini,-0.5
anachronism,-0.375
anachronistically,0.25
anaclitic,0.125
anaemia,0.25
anaerobe,-0.625
anaerobic,-0.3125
anaerobiotic,-0.375
anaesthesia,-0.25
anaglyph,-0.5
anagogic,-0.25
anagogical,-0.25
analbuminemia,-0.5
analgesia,-0.75
analgesic,-0.375
analogously,0.25
analphabetic,-0.125
analyse,-0.125
analytic,0.125
analytical,0.125
analyze,-0.125
anapaest,-0.125
anapest,-0.125
anaphrodisia,-0.125
anaplasty,0.125
anaprox,-0.125
anapsid,-0.5
anarchically,0.25
anarchistic,-0.125
anarhichas,-0.125
anasa,-0.125
anasarca,-0.5
anasarcous,-0.75
anaspida,-0.25
anastigmatic,-0.25
anastomose,-0.375
anastylosis,-0.25
anathema,-0.125
anathematise,-0.125
anathematize,-0.125
anathemise,-0.25
anathemize,-0.25
anatomically,0.375
anatomize,0.375
anatomy,0.125
anatoxin,-0.75
anchoritic,0.125
anchylosis,-0.125
andante,0.125
androsterone,0.125
anemia,0.25
anencephalic,-0.5
anencephalous,-0.5
anergy,0.25
aneroid,-0.125
anesthesia,-0.25
aneuploidy,-0.25
aneurism,-0.375
aneurysm,-0.375
anfractuous,-0.25
angelically,0.25
anger,-0.416666667
angiitis,-0.25
angina,-0.625
anginal,-0.5
anginose,-0.5
anginous,-0.5
angioedema,-0.5
angiohemophilia,-0.125
angiopathy,-0.375
angioplasty,-0.125
angle,-0.3125
anglewing,0.25
anglian,0.125
anglophilic,0.125
anglophobic,0.125
angrily,-0.125
angriness,-1
angry,-0.125
angst,-0.125
anguidae,-0.125
anguine,0.125
anguis,-0.125
anguish,-0.625
angulation,0.5
angwantibo,0.375
anhedonia,-0.625
animadvert,-0.125
animal,-0.375
animalia,-0.125
animalise,-0.75
animalize,-0.75
animate,0.041666667
animated,0.375
animatedly,0.25
animation,0.25
animosity,-0.125
animus,-0.125
anionic,-0.5
aniseikonia,0.125
anisette,0.125
anisometropia,0.125
anisometropic,0.125
anisotropically,0.125
ankylosaur,0.125
ankylosaurus,0.125
ankylosis,-0.125
annelida,0.25
annihilation,0
annoyance,-0.291666667
annoyed,-0.5
annoying,-0.375
annoyingly,-0.25
annually,-0.25
anodyne,-0.375
anomalously,0.25
anomia,-0.5
anomiidae,0.125
anon,-0.125
anon.,-0.5
anonymity,-0.125
anonymous,-0.4375
anonymously,-0.375
anopheles,-0.375
anopheline,-0.125
anopia,-0.375
anoplura,-0.375
anorchia,-0.5
anorchidism,-0.5
anorchism,-0.5
anorectic,-0.5
anorexigenic,-0.5
anorgasmia,-0.5
anosmia,-0.625
anostraca,-0.125
anoxemia,-0.375
anoxemic,-0.25
anoxia,-0.75
anoxic,-0.375
anser,-0.125
anseres,0.125
anseriformes,-0.375
answer,0.0625
antagonism,-0.25
antagonist,0.125
antagonistically,0.25
antenatal,-0.125
antepartum,-0.125
anterograde,-0.125
antheraea,0.375
antheridial,0.25
anthonomus,-0.25
anthracite,-0.125
anthracosis,-0.25
anthrax,-0.625
anthropoidea,0.125
anthropophagy,-0.125
antibiotic,0.125
antic,0.25
anticancer,-0.25
anticipate,-0.125
anticipation,0.1875
anticipatory,0.25
anticlimactic,0.125
anticonvulsant,0.125
antidepressant,-0.125
antidiabetic,-0.125
antidotal,-0.125
antidote,-0.125
antiemetic,-0.125
antiepileptic,0.125
antifeminism,0.125
antimalarial,0.125
antimycin,-0.125
antineoplastic,-0.25
antipathy,-0.5
antiphrasis,-0.25
antiprotozoal,-0.125
antipruritic,0.125
antipsychotic,0.25
antipyresis,-0.25
antiquate,-0.25
antisepticize,0.25
antithetically,0.25
antitoxic,-0.125
antitoxin,0.25
antitumor,-0.25
antitumour,-0.25
antivenene,-0.125
antivenin,-0.125
antiviral,0.5
antsy,-0.625
anuresis,-0.375
anuretic,-0.25
anuria,-0.375
anuric,-0.25
anurous,-0.625
anxiety,-0.375
anxiolytic,0.0625
anxious,-0.5
anxiousness,-0.3125
aortitis,-0.625
apadana,0.125
apart,-0.5
apathetically,0.375
apathy,-0.625
apc,-0.25
ape,-0.375
aperient,0.25
aphakia,-0.625
aphakic,-0.375
aphasia,-0.375
aphasic,-0.5625
aphonic,-0.75
aphotic,-0.125
aphrodisia,0.625
aphrodisiac,0.25
apiculate,0.25
aplacophoran,-0.125
aplysia,-0.125
apocalypse,-0.5
apocalyptic,-0.125
apodeictic,0.125
apodictic,0.125
apologetically,0.25
apologise,-0.625
apologize,-0.625
apomorphine,-0.125
apophasis,0.125
apoplectiform,-0.125
apoplectoid,-0.125
apostrophe,-0.25
apothegmatic,0.125
apothegmatical,0.125
appalachian,0.125
appalled,0.25
appalling,-0.1875
apparently,0.4375
apparition,-0.125
appealable,0.5
appealing,0
appealingly,0.375
appearance,0.125
appease,-0.375
appendicitis,-0.625
appendicularia,0.375
apperceive,0.125
appetence,-0.25
appetency,-0.25
appetising,0.25
appetite,-0.25
appetizing,0.25
applaudable,0.625
application,0.25
appointed,0.375
apposite,0.125
appositively,0.25
appraisal,0.25
appreciate,0.375
appreciation,0.3125
appreciatively,0.25
appreciativeness,-0.375
apprehend,0.125
apprehension,-0.125
apprehensive,-0.5
apprehensiveness,-0.125
apprise,0.125
apprize,0.125
approbate,0.125
approbation,0.25
appropriate,0.125
appropriately,0.25
approval,0.5
approve,0.25
approvingly,0.375
approximately,0.25
apraxia,-0.5
apropos,0.375
apt,0.125
apteral,-0.3125
apterous,-0.125
aptly,0.375
apus,-0.25
aquaphobic,-0.75
arab,0.125
arabesque,0.25
arabian,0.125
arachnid,-0.125
arachnoid,-0.125
arachnophobia,0.125
arame,-0.5
araroba,-0.125
arbitrarily,0.375
arcade,-0.25
arced,0.125
arcella,-0.125
arch,0.125
archaicism,-0.125
archaism,-0.125
archaistic,-0.125
archangelic,0.25
archangelical,0.25
archducal,-0.25
arched,0.125
archepiscopal,0.125
archiannelid,-0.375
archiepiscopal,0.125
arching,0.125
arcidae,-0.375
arciform,0.125
arctic,-0.125
arctiid,0.25
arctiidae,-0.125
arcuate,0.125
ardent,0.25
ardently,0.25
ardor,0.125
ardour,0.125
ards,-0.75
arduously,0.375
areflexia,-0.375
arenaceous,-0.125
argillaceous,-0.125
arginine,-0.5
argonaut,0.25
argonauta,-0.125
argufy,0.25
arguing,0.125
argument,0.125
argumentatively,0.25
arid,-0.375
aridity,-0.5
aridness,-0.5
aright,0.25
ariidae,-0.25
arise,-0.125
aristocratically,0.125
arithmetically,0.25
arius,-0.25
armadillidiidae,-0.25
armadillidium,-0.25
armageddon,-0.75
armed,0
armlike,-0.125
armor,-0.125
armored,-0.041666667
armour,-0.125
armoured,-0.125
armyworm,-0.1875
aromatic,0.25
around,0.1875
arousal,0.3125
arouse,0.333333333
aroused,-0.25
arraign,-0.625
arrange,0.125
array,0
arrhythmia,-0.125
arrhythmic,-0.75
arrogantly,0.125
art,0.25
arteriectasia,-0.375
arteriectasis,-0.375
arteritis,-0.75
artery,0.25
artful,0.625
artfully,0.25
arthralgia,-0.375
arthritis,-0.25
arthropathy,0.5
articulate,-0.5
articulated,-0.625
articulately,0.125
artificial,-0.25
artificially,-0.625
artistic,0.75
artistically,0.125
artless,-0.375
artlessly,0.25
as,-0.125
asafetida,-0.25
asafoetida,-0.25
asbestosis,-0.5
ascendant,-0.25
ascendent,-0.25
ascensional,-0.125
ascensive,-0.25
ascertain,-0.125
ascesis,0.125
ascetically,0.375
asceticism,0.125
aschelminthes,0.25
ascribable,-0.25
asexually,0.25
ashamed,-0.75
ashamedly,-0.25
ashen,-0.125
aside,-0.375
asilidae,-0.25
asinine,0.375
ask,0.125
askance,-0.25
asleep,-0.5
aspartame,0.25
aspergillosis,-0.1875
asperse,0.375
aspersion,0.375
asphyxia,-0.625
asphyxiate,-0.25
asphyxiating,-0.25
aspirant,0.5
aspiration,0.375
aspire,0.125
aspiring,0.5
assailable,-0.625
assassinate,-0.375
assault,-0.0625
assay,0.25
assentient,0.25
assert,0.125
assertive,0.375
assertively,0.25
assess,0.125
assessable,0.5
assibilate,0.125
assignable,0.125
assignation,0.125
assimilate,0.375
assimilating,-0.75
assimilative,-0.75
assimilatory,-0.75
assist,0.3125
assistance,0.5
associable,0.625
associative,-0.625
associatory,-0.625
assoil,0.25
assuage,0.25
assuagement,0.125
assuasive,0.25
assume,-0.25
assuming,-0.5
assumptive,-0.125
assure,0.375
assured,0.625
assuredly,-0.25
assuring,0.5
astasia,-0.625
astatic,-0.375
asteriated,0.625
asteroidea,0.125
asthenia,-0.5
asthenic,-0.5
astheny,-0.5
asthma,-0.375
astigmatism,-0.625
astigmia,-0.625
astomatal,-0.25
astomatous,-0.5
astonied,0.5
astonish,-0.25
astonished,0.5
astonishing,0.25
astonishingly,0.125
astonishment,-0.375
astound,-0.25
astounded,0.5
astraphobia,0.25
astringent,-0.1875
astutely,0.125
astylar,-0.25
asylum,-0.25
asymmetric,-0.375
asymmetrical,-0.375
asymmetrically,0.125
asymptomatic,-0.25
asynchronous,-0.625
asyndetic,-0.25
asyndeton,0.25
asynergia,-0.625
asynergic,-0.125
asynergy,-0.625
asystole,-0.625
atabrine,-0.125
atactic,-0.25
ataractic,-0.25
ataraxic,-0.25
ataraxis,-0.375
ataxia,-0.625
ataxic,-0.25
ataxy,-0.625
athletic,0.375
ativan,-0.375
atonal,-0.375
atonalism,-0.25
atonality,-0.25
atonia,-0.5
atonic,-0.5
atonicity,-0.5
atony,-0.5
atopognosia,-0.375
atopognosis,-0.375
atoxic,-0.625
atrocious,-0.625
atrociously,-0.75
atrocity,-0.375
atrophedema,-0.5
atrophy,-0.3125
atropidae,-0.375
attach,0.125
attachable,0.5
attack,-0.0625
attainability,0.125
attainableness,0.125
attempted,-0.25
attention,0.25
attentive,0.25
attentively,0.375
attenuate,-0.125
attenuation,-0.125
attest,0.5
attire,-0.125
attractive,0.625
attractively,0.375
attributable,0.625
attributively,0.25
attrited,-0.125
attrition,-0.25
atypical,-0.75
atypically,0.25
au,-0.125
auburn,-0.125
audacious,0.375
audaciously,0.125
audible,0.375
audibly,0.375
audience,0.125
audition,0.375
aura,-0.125
aural,0.125
auspicate,0.375
auspice,0.625
auspices,-0.375
auspicious,0.625
autarchic,0.25
autarchical,0.25
autarkical,0.25
authentic,0.625
authorised,-0.375
authoritatively,0.125
authorized,-0.375
autistic,-0.75
autobahn,0.25
autocratically,0.1875
autoloading,0.375
automatic,-0.5
automatically,0.375
automatism,-0.25
automysophobia,-0.75
autotype,0.25
avail,0.5
available,0.375
avalanche,-0.125
avarice,-0.375
avariciously,0.125
avaritia,-0.375
avenge,-0.5
average,-0.375
aversion,-0.5
avertable,0.625
avertible,0.625
avidly,0.25
avirulent,-0.875
avitaminosis,-0.25
avoid,-0.125
avoidable,0.625
avoidance,0.5
avuncular,0.25
await,-0.25
awake,0.125
awaken,0.25
aware,0.5
away,-0.3125
awe,0.375
aweary,0.375
awful,-0.1875
awfully,-0.416666667
awkward,-0.375
awkwardly,0.125
awnless,-0.25
awry,-0.1875
axerophthol,-0.125
axially,0.375
axiom,-0.0625
ayrshire,0.125
azoimide,-0.125
azonal,-0.125
azonic,-0.5
azote,-0.25
azymia,-0.5
babel,-0.125
babinski,0.125
baboonish,0.125
baccate,0.0625
bacchanal,0.125
bacchanalia,0.125
bacciferous,0.25
bacitracin,0.125
back,0.25
backbeat,-0.125
backchat,-0.25
backdown,-0.125
background,0.5
backless,-0.25
backlighting,-0.125
backlog,-0.625
backpedal,-0.125
backslide,-0.5
backswimmer,-0.125
backsword,0.125
backward,0.5
bacteremia,-0.125
bacteria,0.125
bacteriaemia,-0.125
bacteriemia,-0.125
bacteriolytic,-0.5
bacteriostatic,-0.375
bacterium,0.125
bacteroides,-0.625
bad,-0.517857143
badinage,-0.5
badly,-0.472222222
baffle,-0.125
baffled,-0.25
bag,0.3125
bagascosis,-0.25
bagassosis,-0.25
bagatelle,0.0625
bait,0
baked,-0.25
balanitis,-0.125
balanus,-0.125
bald,-0.125
balding,-0.125
baldly,0.25
baldness,-0.5
baleful,-0.6875
balefully,0.25
balking,-0.375
balky,-0.375
balletic,0.5
balloon,0.0625
ballot,0.125
balloting,0.125
ballup,-0.5
ballyhoo,0.125
balminess,-0.625
balsam,0.125
bam,-0.25
bamboozle,0.5
banality,0.125
bandage,-0.125
banded,0.125
bane,-0.625
baneful,-0.625
bang,0.25
bangle,-0.25
bank,0.375
bankruptcy,-0.625
banner,0.875
banquet,0.25
banter,-0.3125
bar,-0.375
barbarian,0.25
barbaric,-0.0625
barbarise,0.375
barbarize,0.375
barbarously,0.25
barbecue,0.25
barbed,-0.375
barbellate,-0.375
barbeque,0.25
bardolatry,-0.25
bare,-0.333333333
bareback,-0.375
barebacked,-0.375
bareboat,-0.5
bareboating,0.125
barefaced,0.625
barehanded,0.125
barge,-0.125
bark,0.125
barnburner,0.25
baronetcy,0.375
barony,0.375
barrack,-0.375
barratry,0.125
barrenness,-0.375
barricade,-0.375
base,-0.375
baseless,-0.5
bash,0.125
bashful,0.25
bashfully,0.375
bashfulness,-0.375
basic,0.25
basically,0.5
basidial,0.25
basidiosporous,-0.25
bask,-0.125
basque,-0.125
bastard,-0.875
bastardisation,0.125
bastardization,0.125
baste,-0.125
basting,-0.125
bat,0.125
batfowl,0.125
bathos,-0.375
bathyergus,0.125
batrachomyomachia,-0.5
batten,0.125
battered,-0.75
battery,-0.25
battleful,0.5
battue,-0.25
bauble,-0.25
bauxitic,-0.125
bawdily,0.25
bawl,-0.25
bawling,-0.125
bay,-0.125
bayat,0.125
bazaar,0.25
beading,-0.125
beadwork,-0.125
beady,-0.375
beak,-0.125
beaker,-0.375
beakless,-0.625
beaklike,-0.25
beam,-0.25
beaming,0.375
beamish,0.125
beamy,0.125
bear,-0.1875
bearable,-0.625
beardown,0.125
beast,-0.375
beastly,0.25
beat,0.225
beatification,0.75
beating,-0.125
beauteous,0.125
beautification,0.125
beautiful,0.75
beautifully,0.375
beautify,0.375
becloud,-0.125
become,0.125
becomingly,0.25
bed,0.25
bedamn,-0.375
bedaubed,-0.5
bedaze,-0.125
bedevil,-0.5
bedfast,-0.125
bedim,-0.25
bedizen,-0.5
bedlam,-0.25
bedless,-0.5
bedraggle,-0.125
bedrest,-0.25
bedrid,-0.125
bedridden,-0.125
beef,-0.3125
beetle,0.25
befittingly,0.25
befog,-0.125
befool,0.125
befoulment,0.125
befuddle,-0.5
beg,-0.5
beginning,0.125
begrime,-0.75
beguilement,-0.125
behavior,0.25
behaviorist,0.125
behavioristic,0.125
behaviour,0.25
behaviourist,0.125
behaviouristic,0.125
behind,-0.125
behold,-0.125
belabor,-0.25
belabour,-0.25
belatedly,-0.125
belemnitidae,-0.125
believably,0.25
believe,0.166666667
belittle,-0.041666667
belladonna,-0.25
bellicose,0.5
bellied,-0.375
belligerence,0.125
belligerency,0
belligerently,0.25
belling,0.5
belly,-0.125
bellyache,-0.5
bellyless,-0.125
belong,0.75
belonging,0.5
belonidae,0.125
belt,0.5
beltless,-0.125
beltlike,0.125
bemire,-0.75
bemoan,-0.625
bemock,-0.5
bemused,0.125
benediction,-0.125
benedictive,-0.375
benedictory,-0.375
benefaction,0.75
benefic,0.75
beneficence,0.75
beneficent,0.625
beneficial,0.625
beneficially,0.5
beneficiary,0.125
benevolence,0.625
benevolent,0.5625
benevolently,0.375
benight,0.625
benign,0.0625
benignant,0.875
benignantly,0.125
benignly,0.125
benison,-0.125
benumb,-0.25
berate,-0.75
berceuse,-0.375
beret,-0.25
beriberi,-0.5
beroe,0.125
berried,0.25
berrylike,-0.125
berth,0.125
beseechingly,0.25
beshrew,-0.375
besmirch,0.125
besot,0.125
bespectacled,-0.25
bespoken,0.25
best,0.5625
bestialise,-0.125
bestialize,-0.125
bestially,0.25
bestir,0.125
bet,0.25
bethink,0.125
betimes,0.375
betise,-0.125
betray,-0.208333333
betrothed,0.25
better,0.6875
bettering,0.375
betterment,0.25
beverage,0.25
bewail,-0.625
beware,0.5
bewilder,-0.125
bewilderedly,0.25
bewilderingly,0.125
bewitch,0.125
bewitching,0.5
bewitchingly,0.25
bewray,-0.125
bhakti,0.375
bias,0.125
bib,0.125
bibless,-0.125
bibliomaniacal,-0.125
bichromated,-0.125
bicker,-0.1875
bickering,-0.25
bifid,0.125
bifocal,0.125
big,0.0625
bigamy,-0.25
bighead,-0.125
bigoted,-0.5
bilaterally,0.25
bilingually,0.25
bilious,-0.75
biliousness,-0.625
bilk,0.125
billow,0.0625
billowing,-0.5
